Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Arc Logic,Auto Rifle,Adaptive,Auto Rifle Adaptive,Arc,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,-0.10,1.575,1.475,10.800,0.107,14.87,21.93,21,38,34,64,56,65,47,41,10,16,"""A well-rounded grip, reliable and sturdy."" ",9.1628,Auto Rifle 9.16278306707504,Auto Rifle Adaptive 9.16278306707504,Arc Logic,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Arc Primary
21% Delirium,Machine Gun,Rapid-Fire,Machine Gun Rapid-Fire,Arc,Heavy,8818,1.00,900,24,18,1.34,0.53,9,67%,6,3,-,0.67,11,-,0.90,1.00,16.00,0.00,1.575,1.575,10.050,0.107,14.76,23.24,25,44,47,48,57,70,60,81,6,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Machine Gun -,Machine Gun Rapid-Fire -,21% Delirium,,,,,,,,FALSE,TRUE,FALSE,
Duty Bound,Auto Rifle,Adaptive,Auto Rifle Adaptive,Kinetic,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,0.10,1.575,1.675,10.800,0.107,14.65,24.54,21,36,39,63,49,73,60,41,18,18,"""A well-rounded grip, reliable and sturdy."" ",10.3412,Auto Rifle 10.3412313100634,Auto Rifle Adaptive 10.3412313100634,Duty Bound,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Gnawing Hunger,Auto Rifle,Adaptive,Auto Rifle Adaptive,Void,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,-0.10,1.575,1.475,10.800,0.107,15.94,23.51,21,48,43,53,57,65,54,44,10,16,"""A well-rounded grip, reliable and sturdy."" ",9.6466,Auto Rifle 9.64664746608562,Auto Rifle Adaptive 9.64664746608562,Gnawing Hunger,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Void Primary
Scathelocke,Auto Rifle,Adaptive,Auto Rifle Adaptive,Kinetic,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,0.30,1.575,1.875,10.800,0.107,15.51,29.08,21,44,39,62,54,65,60,42,10,20,"""A well-rounded grip, reliable and sturdy."" ",9.7276,Auto Rifle 9.72761064163279,Auto Rifle Adaptive 9.72761064163279,Scathelocke,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Sorrow's Verse,Auto Rifle,Adaptive,Auto Rifle Adaptive,Arc,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,-0.10,1.575,1.475,10.800,0.107,15.51,22.87,21,44,34,64,58,68,53,41,10,16,"""A well-rounded grip, reliable and sturdy."" ",9.5121,Auto Rifle 9.51212695061799,Auto Rifle Adaptive 9.51212695061799,Sorrow's Verse,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Arc Primary
Acantha-D XK8434,Grenade Launcher,Rapid-Fire,Grenade Launcher Rapid-Fire,Arc ,Heavy,13566,-,150,-,-,-,-,1,0%,0,1,0.40,-,1,-,0.90,0.90,-,-,-,-,-,-,-,-,15,47,28,31,36,25,80,5,0,13,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Grenade Launcher -,Grenade Launcher Rapid-Fire -,Acantha-D XK8434,,,,,,,,FALSE,TRUE,FALSE,
The Forward Path,Auto Rifle,Adaptive,Auto Rifle Adaptive,Kinetic,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,-0.10,1.575,1.475,10.800,0.107,15.62,23.03,21,45,42,59,60,71,60,43,10,16,"""A well-rounded grip, reliable and sturdy."" ",9.8312,Auto Rifle 9.83116008132195,Auto Rifle Adaptive 9.83116008132195,The Forward Path,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
The Last Breath,Auto Rifle,Adaptive,Auto Rifle Adaptive,Kinetic,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,-0.10,1.575,1.475,10.800,0.107,15.29,22.56,21,42,43,67,51,67,56,43,10,16,"""A well-rounded grip, reliable and sturdy."" ",9.6745,Auto Rifle 9.67447346472003,Auto Rifle Adaptive 9.67447346472003,The Last Breath,1.1,1.10,1.00,1.10,1.00,1.10,1.00,FALSE,FALSE,FALSE,Auto Rifle Kinetic Primary
Adhortative,Pulse Rifle,Adaptive,Pulse Rifle Adaptive,Solar,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,0.95,1.00,17.00,0.00,1.675,2,16.000,0.080,19.76,33.10,29,47,55,48,45,61,61,36,0,17,"""A well-rounded grip, reliable and sturdy."" ",-,Pulse Rifle -,Pulse Rifle Adaptive -,Adhortative,,,,,,,,FALSE,TRUE,FALSE,
The Summoner,Auto Rifle,Adaptive,Auto Rifle Adaptive,Solar,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,17.00,-0.10,1.575,1.475,10.800,0.107,15.08,22.24,21,40,41,70,56,62,57,42,24,16,"""A well-rounded grip, reliable and sturdy."" ",11.1027,Auto Rifle 11.1027319852401,Auto Rifle Adaptive 11.1027319852401,The Summoner,1.1,1.10,0.95,1.10,1.00,1.10,0.90,FALSE,FALSE,FALSE,Auto Rifle Solar Primary
Cerberus+1,Auto Rifle,Cerberus+1,Auto Rifle Cerberus+1,Kinetic,Primary,7097,1.00,360,30,18,1.67,1.00,7,86%,6,1,-,1.67,11,-,1.44,0.93,16.00,0.00,1.575,1.575,10.800,0.107,13.48,21.22,33,25,20,27,35,50,80,43,16,16,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle Cerberus+1 -,Cerberus+1,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle Kinetic Primary
Hard Light,Auto Rifle,Hard Light,Auto Rifle Hard Light,ALL,Primary,3555,1.00,600,23,14,1.60,0.80,9,89%,8,1,-,1.30,14,-,1.38,0.90,16.00,0.00,1.575,1.575,10.800,0.107,15.08,23.75,21,40,80,77,64,100,100,49,19,16,See Exotic box below for more information,-,Auto Rifle -,Auto Rifle Hard Light -,Hard Light,,,,,,,,FALSE,FALSE,TRUE,Auto Rifle ALL Primary
Age-Old Bond,Auto Rifle,High-Impact,Auto Rifle High-Impact,Void,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,1.44,0.93,17.00,-0.10,1.575,1.475,10.800,0.107,19.57,28.87,33,82,30,38,34,61,79,35,10,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",7.3559,Auto Rifle 7.35591829743565,Auto Rifle High-Impact 7.35591829743565,Age-Old Bond,0.8,0.80,0.95,0.80,1.00,0.80,0.90,FALSE,FALSE,FALSE,Auto Rifle Void Primary
